timestamp,Ct,prediction,anomalyScore,anomaly_likelihood
2017-01-10 22:00:00,9073.0,7825.5999999999985,0.7,0.5
2017-01-11 00:00:00,7938.0,6853.09,0.15,0.5
2017-01-11 02:00:00,7673.0,7673.0,0.0,0.5
2017-01-11 04:00:00,7369.0,7682.24,0.175,0.5
2017-01-11 06:00:00,4672.0,4152.8099999999995,0.125,0.5
2017-01-11 08:00:00,4169.0,4169.0,0.0,0.5
2017-01-11 10:00:00,8391.0,11073.0,0.575,0.5
2017-01-11 12:00:00,11093.0,22092.0,0.95,0.5
2017-01-11 14:00:00,21951.0,18226.0,0.25,0.5
2017-01-11 16:00:00,18553.0,19506.5,0.15,0.5
2017-01-11 18:00:00,20442.0,15986.099999999999,0.05,0.5
2017-01-11 20:00:00,17079.0,9081.539999999999,0.175,0.5
2017-01-11 22:00:00,9546.0,7943.25,0.175,0.5
2017-01-12 00:00:00,8184.0,7682.24,0.125,0.5
2017-01-12 02:00:00,7990.0,7682.24,0.075,0.5
2017-01-12 04:00:00,7712.0,7957.275,0.075,0.5
2017-01-12 06:00:00,4707.0,4157.6669999999995,0.0,0.5
2017-01-12 08:00:00,4337.0,4337.0,0.0,0.5
2017-01-12 10:00:00,8546.0,11079.0,0.6,0.5
2017-01-12 12:00:00,11118.0,21951.0,0.325,0.5
2017-01-12 14:00:00,22491.0,18553.0,0.15,0.5
2017-01-12 16:00:00,18077.0,20474.199999999997,0.125,0.5
2017-01-12 18:00:00,19613.0,17079.0,0.125,0.5
2017-01-12 20:00:00,16187.0,9516.599999999999,0.075,0.5
2017-01-12 22:00:00,9753.0,8184.0,0.025,0.5
2017-01-13 00:00:00,8315.0,7691.168,0.05,0.5
2017-01-13 02:00:00,7977.0,7691.168,0.0,0.5
2017-01-13 04:00:00,7588.0,4672.7,0.0,0.5
2017-01-13 06:00:00,4525.0,4305.262,0.0,0.5
2017-01-13 08:00:00,4441.0,4305.262,0.125,0.5
2017-01-13 10:00:00,7823.0,4491.1759999999995,0.025,0.5
2017-01-13 12:00:00,10289.0,22491.0,0.275,0.5
2017-01-13 14:00:00,20827.0,16208.699999999997,0.325,0.5
2017-01-13 16:00:00,17795.0,19613.0,0.25,0.5
2017-01-13 18:00:00,17525.0,19613.0,0.25,0.5
2017-01-13 20:00:00,14340.0,7660.2176,0.075,0.5
2017-01-13 22:00:00,8327.0,8327.0,0.25,0.5
2017-01-14 00:00:00,7346.0,7346.0,0.1,0.5
2017-01-14 02:00:00,7618.0,8318.6,0.05,0.5
2017-01-14 04:00:00,5947.0,3386.3437999999987,0.075,0.5
2017-01-14 06:00:00,4831.0,4491.1759999999995,0.025,0.5
2017-01-14 08:00:00,3776.0,6354.3822,0.05,0.5
2017-01-14 10:00:00,7253.0,4491.1759999999995,0.175,0.5
2017-01-14 12:00:00,7556.0,10289.0,0.7,0.5
2017-01-14 14:00:00,8530.0,20827.0,0.475,0.5
2017-01-14 16:00:00,6764.0,8541.2,0.85,0.5
2017-01-14 18:00:00,7162.0,6712.080999999999,0.175,0.5
2017-01-14 20:00:00,7009.0,7009.0,0.075,0.5
2017-01-14 22:00:00,6228.0,6228.0,0.15,0.5
2017-01-15 00:00:00,6672.0,6672.0,0.025,0.5
2017-01-15 02:00:00,6896.0,6896.0,0.0,0.5
2017-01-15 04:00:00,5127.0,4831.0,0.075,0.5
2017-01-15 06:00:00,4597.0,7824.819999999998,0.1,0.5
2017-01-15 08:00:00,4349.0,7824.819999999998,0.0,0.5
2017-01-15 10:00:00,7018.0,7015.999999999999,0.125,0.5
2017-01-15 12:00:00,6992.0,7016.5999999999985,0.775,0.5
2017-01-15 14:00:00,6820.0,7009.219999999999,0.075,0.5
2017-01-15 16:00:00,5551.0,6852.174099999999,0.0,0.5
2017-01-15 18:00:00,6540.0,5586.233589999999,0.0,0.5
2017-01-15 20:00:00,7180.0,7180.0,0.0,0.5
2017-01-15 22:00:00,5903.0,5903.0,0.0,0.5
2017-01-16 00:00:00,6546.0,5915.408949559998,0.025,0.5
2017-01-16 02:00:00,6680.0,7647.552319999999,0.0,0.5
2017-01-16 04:00:00,6772.0,4318.3834,0.1,0.5
2017-01-16 06:00:00,3804.0,4318.3834,0.025,0.5
2017-01-16 08:00:00,4127.0,4127.0,0.0,0.5
2017-01-16 10:00:00,7315.0,7195.329999999999,0.1,0.5
2017-01-16 12:00:00,7935.0,5586.233589999999,0.175,0.5
2017-01-16 14:00:00,8249.0,6717.427782999999,0.1,0.5
2017-01-16 16:00:00,7251.0,8297.72,0.15,0.5
2017-01-16 18:00:00,8122.0,6717.427782999999,0.125,0.5
2017-01-16 20:00:00,8519.0,8519.0,0.425,0.5
2017-01-16 22:00:00,6449.0,6717.427782999999,0.025,0.5
2017-01-17 00:00:00,6965.0,6717.427782999999,0.05,0.5
2017-01-17 02:00:00,7346.0,6717.427782999999,0.05,0.5
2017-01-17 04:00:00,6980.0,3820.0999999999995,0.05,0.5
2017-01-17 06:00:00,4226.0,4148.466899999999,0.0,0.5
2017-01-17 08:00:00,3952.0,7315.7889099999975,0.0,0.5
2017-01-17 10:00:00,7606.0,7954.734749999999,0.075,0.5
2017-01-17 12:00:00,11200.0,20827.0,0.1,0.5
2017-01-17 14:00:00,21853.0,18077.0,0.1,0.5
2017-01-17 16:00:00,18210.0,14274.9,0.025,0.5
2017-01-17 18:00:00,20026.0,16208.699999999997,0.05,0.5
2017-01-17 20:00:00,17336.0,9702.6,0.075,0.5
2017-01-17 22:00:00,9633.0,8297.72,0.1,0.5
2017-01-18 00:00:00,8653.0,8653.0,0.025,0.5
2017-01-18 02:00:00,8037.0,8037.0,0.05,0.5
2017-01-18 04:00:00,7334.0,4171.72683,0.025,0.5
2017-01-18 06:00:00,4291.0,3952.0,0.0,0.5
2017-01-18 08:00:00,4598.0,4598.0,0.025,0.5
2017-01-18 10:00:00,7975.0,8570.078,0.075,0.5
2017-01-18 12:00:00,11786.0,21853.0,0.225,0.5
2017-01-18 14:00:00,22755.0,18221.199999999997,0.25,0.5
2017-01-18 16:00:00,17554.0,20026.0,0.125,0.5
2017-01-18 18:00:00,20683.0,17336.0,0.175,0.5
2017-01-18 20:00:00,16931.0,9681.72,0.075,0.5
2017-01-18 22:00:00,9991.0,8570.078,0.125,0.5
2017-01-19 00:00:00,8786.0,8786.0,0.075,0.5
2017-01-19 02:00:00,8074.0,7321.252236999998,0.05,0.5
2017-01-19 04:00:00,8062.0,7321.252236999998,0.1,0.5
2017-01-19 06:00:00,5002.0,4634.392999999999,0.025,0.5
2017-01-19 08:00:00,4670.0,7960.8143249999985,0.025,0.5
2017-01-19 10:00:00,8755.0,8755.0,0.1,0.5
2017-01-19 12:00:00,11642.0,22755.0,0.25,0.5
2017-01-19 14:00:00,22248.0,17568.039199999996,0.075,0.5
2017-01-19 16:00:00,18577.0,20683.0,0.0,0.5
2017-01-19 18:00:00,20364.0,16965.3,0.0,0.5
2017-01-19 20:00:00,17496.0,9991.0,0.05,0.5
2017-01-19 22:00:00,9611.0,9611.0,0.0,0.5
2017-01-20 00:00:00,8383.0,8096.311199999998,0.125,0.5
2017-01-20 02:00:00,8284.0,8776.7,0.125,0.5
2017-01-20 04:00:00,7230.0,4645.075099999999,0.125,0.5
2017-01-20 06:00:00,4679.0,4645.075099999999,0.0,0.5
2017-01-20 08:00:00,4522.0,4522.0,0.025,0.5
2017-01-20 10:00:00,8173.0,11786.0,0.025,0.5
2017-01-20 12:00:00,10855.0,9544.919999999998,0.1,0.5
2017-01-20 14:00:00,21875.0,18560.199999999997,0.1,0.5
2017-01-20 16:00:00,17297.0,9544.919999999998,0.05,0.5
2017-01-20 18:00:00,18475.0,9544.919999999998,0.0,0.5
2017-01-20 20:00:00,14983.0,8293.604,0.0,0.5
2017-01-20 22:00:00,8412.0,8412.0,0.1,0.5
2017-01-21 00:00:00,7921.0,7960.8143249999985,0.0,0.5
2017-01-21 02:00:00,8122.0,7205.730999999999,0.0,0.5
2017-01-21 04:00:00,6917.0,6917.0,0.05,0.5
2017-01-21 06:00:00,4543.0,4543.0,0.0,0.5
2017-01-21 08:00:00,4655.0,8120.122487999997,0.025,0.5
2017-01-21 10:00:00,7379.0,11200.0,0.075,0.5
2017-01-21 12:00:00,7702.0,8570.078,0.225,0.5
2017-01-21 14:00:00,8999.0,7338.576565899998,0.225,0.5
2017-01-21 16:00:00,6590.0,6590.0,0.025,0.5
2017-01-21 18:00:00,7273.0,7273.0,0.025,0.5
2017-01-21 20:00:00,7665.0,8120.122487999997,0.025,0.5
2017-01-21 22:00:00,6432.0,6991.167799999999,0.025,0.5
2017-01-22 00:00:00,6768.0,6768.0,0.0,0.5
2017-01-22 02:00:00,7464.0,6871.621869999999,0.1,0.5
2017-01-22 04:00:00,6583.0,6583.0,0.0,0.5
2017-01-22 06:00:00,4370.0,4655.176798999999,0.025,0.5
2017-01-22 08:00:00,4175.0,4175.0,0.025,0.5
2017-01-22 10:00:00,7516.0,7658.112445759998,0.1,0.5
2017-01-22 12:00:00,7150.0,9056.777999999998,0.125,0.5
2017-01-22 14:00:00,7005.0,7005.0,0.0,0.5
2017-01-22 16:00:00,6054.0,6054.0,0.075,0.5
2017-01-22 18:00:00,6890.0,6890.0,0.0,0.5
2017-01-22 20:00:00,7718.0,6397.537278,0.025,0.5
2017-01-22 22:00:00,6557.0,6732.599448099999,0.05,0.5
2017-01-23 00:00:00,6673.0,7515.350399999999,0.0,0.5
2017-01-23 02:00:00,7335.0,6560.416699999998,0.075,0.5
2017-01-23 04:00:00,6764.0,6764.0,0.025,0.5
2017-01-23 06:00:00,4415.0,4415.0,0.025,0.5
2017-01-23 08:00:00,4329.0,4329.0,0.05,0.5
2017-01-23 10:00:00,8098.0,7189.011699999999,0.05,0.5
2017-01-23 12:00:00,12024.0,22248.0,0.15,0.5
2017-01-23 14:00:00,22232.0,17324.3,0.025,0.5
2017-01-23 16:00:00,18379.0,14983.0,0.025,0.5
2017-01-23 18:00:00,20030.0,17496.0,0.025,0.5
2017-01-23 20:00:00,16945.0,8395.619999999999,0.1,0.5
2017-01-23 22:00:00,10098.0,8776.7,0.0,0.5
2017-01-24 00:00:00,8348.0,8348.0,0.0,0.5
2017-01-24 02:00:00,8092.0,6560.416699999998,0.0,0.5
2017-01-24 04:00:00,7107.0,5444.220461139999,0.0,0.5
2017-01-24 06:00:00,4719.0,4328.382506199999,0.0,0.5
2017-01-24 08:00:00,4579.0,8107.040019119999,0.05,0.5
2017-01-24 10:00:00,8067.0,12031.7,0.05,0.5
2017-01-24 12:00:00,11728.0,22243.199999999997,0.05,0.5
2017-01-24 14:00:00,22479.0,18379.0,0.125,0.5
2017-01-24 16:00:00,17950.0,20027.199999999997,0.0,0.5
2017-01-24 18:00:00,19464.0,20027.199999999997,0.0,0.5
2017-01-24 20:00:00,16150.0,10098.0,0.0,0.5
2017-01-24 22:00:00,9597.0,9597.0,0.0,0.5
2017-01-25 00:00:00,8234.0,8309.922799999998,0.0,0.5
2017-01-25 02:00:00,8240.0,6729.503729568998,0.0,0.5
2017-01-25 04:00:00,7446.0,4645.72663151,0.075,0.5
2017-01-25 06:00:00,4599.0,4645.72663151,0.0,0.5
2017-01-25 08:00:00,4650.0,8095.028013383999,0.05,0.5
