timestamp,Ct,prediction,anomalyScore
2007-05-08 00:00:00,0.836,0.822,1.1109931177364236
2007-05-09 00:00:00,0.835,0.83,1.5778002352764202
2007-05-10 00:00:00,0.828,0.82,1.0769173355137946
2007-05-11 00:00:00,0.83,0.873,0.60011598540424971
2007-05-12 00:00:00,0.864,0.809,0.46323332761828906
2007-05-13 00:00:00,0.862,0.79,1.2321904927971716
2007-05-14 00:00:00,0.818,0.822,1.4034776780334068
2007-05-15 00:00:00,0.815,0.822,0.92633096307762308
2007-05-16 00:00:00,0.827,0.83,1.1474487724602687
2007-05-17 00:00:00,0.835,0.82,0.80882688337525122
2007-05-18 00:00:00,0.805,0.891,0.49439189206113981
2007-05-19 00:00:00,0.875,0.924,0.49053643640807904
2007-05-20 00:00:00,0.865,0.817,1.0570302081291707
2007-05-21 00:00:00,0.81,0.822,1.3530074791292601
2007-05-22 00:00:00,0.815,0.822,1.1886687154120641
2007-05-23 00:00:00,0.828,0.83,0.99213396825855826
2007-05-24 00:00:00,0.818,0.82,1.0896713312015336
2007-05-25 00:00:00,0.819,0.912,0.55553617328255789
2007-05-26 00:00:00,0.894,0.864,0.5807062471398432
2007-05-27 00:00:00,0.968,0.811,0.54865482094239371
2007-05-28 00:00:00,0.816,0.79,1.2443988334369893
2007-05-29 00:00:00,0.818,0.819,1.0020699491403071
2007-05-30 00:00:00,0.81,0.817,0.77588917304425298
2007-05-31 00:00:00,0.818,0.819,1.2510104304560825
2007-06-01 00:00:00,0.782,0.873,0.49272652023590835
2007-06-02 00:00:00,0.875,0.862,0.41129526469119099
2007-06-03 00:00:00,0.828,0.817,2.5085994434646821
2007-06-04 00:00:00,0.772,0.817,0.98208708710304704
2007-06-05 00:00:00,0.804,0.819,1.0930018968907318
2007-06-06 00:00:00,0.813,0.817,1.15953005150855
2007-06-07 00:00:00,0.805,0.819,0.89975567915387011
2007-06-08 00:00:00,0.816,0.875,0.87020126356616134
2007-06-09 00:00:00,0.92,0.864,0.57367404156107171
2007-06-10 00:00:00,0.915,0.817,1.520610751153096
2007-06-11 00:00:00,0.806,0.817,0.82962411268248282
2007-06-12 00:00:00,0.822,0.819,0.60297533702051653
2007-06-13 00:00:00,0.82,0.817,1.6194753171911793
2007-06-14 00:00:00,0.816,0.819,1.9415526023912506
2007-06-15 00:00:00,0.819,0.875,0.57047745850829357
2007-06-16 00:00:00,0.898,0.864,0.45695265918594069
2007-06-17 00:00:00,0.81,0.817,1.7910344335188189
2007-06-18 00:00:00,0.812,0.817,1.1664411199072389
2007-06-19 00:00:00,0.82,0.819,1.6336431115333661
2007-06-20 00:00:00,0.808,0.817,3.7156879009329069
2007-06-21 00:00:00,0.803,0.817,2.0212955453947901
2007-06-22 00:00:00,0.814,0.875,0.75994312361489169
2007-06-23 00:00:00,0.805,0.864,0.5073453467566883
2007-06-24 00:00:00,0.885,0.825,0.85926747329445019
